dates,times,flow
6/5/14,8:54:05,60.0879
6/5/14,8:54:07,67.1251
6/5/14,8:54:52,61.9996
6/5/14,8:54:55,56.3139
6/5/14,8:55:04,62.0491
6/5/14,8:55:07,69.3005
6/5/14,8:55:15,61.4228
6/5/14,8:55:17,55.737
6/5/14,8:55:37,50.4468
6/5/14,8:56:17,44.9753
6/5/14,8:58:49,50.6775
6/5/14,8:59:14,56.1655
6/5/14,8:59:23,49.0954
6/5/14,8:59:26,42.668
6/5/14,8:59:28,37.3448
6/5/14,8:59:30,31.28
6/5/14,8:59:32,22.9738
6/5/14,8:59:33,16.1344
6/5/14,8:59:35,1.0053
6/5/14,9:16:44,6.0978
6/5/14,9:16:46,17.5188
6/5/14,9:16:50,32.6314
6/5/14,9:16:51,38.5479
6/5/14,9:16:54,48.7328
6/5/14,9:16:55,57.1214
6/5/14,9:16:58,62.3292
6/5/14,9:17:41,205.2976
6/5/14,9:17:42,262.007
6/5/14,9:17:43,211.2141
6/5/14,9:17:44,200.6171
6/5/14,9:17:46,183.362
6/5/14,9:17:49,191.0914
6/5/14,9:17:56,182.7852
6/5/14,9:18:03,160.1245
6/5/14,9:18:05,170.1611
6/5/14,9:18:15,176.0776
6/5/14,9:18:17,170.3589
6/5/14,9:18:21,176.7533
6/5/14,9:18:33,182.093
6/5/14,9:18:41,177.017
6/5/14,9:18:47,171.6609
6/5/14,9:19:04,178.319
6/5/14,9:19:06,184.7793
6/5/14,9:19:13,175.8304
6/5/14,9:19:15,170.6391
6/5/14,9:19:25,164.3765
6/5/14,9:19:27,170.8039
6/5/14,9:19:29,164.8709
6/5/14,9:19:39,173.0782
6/5/14,9:20:00,167.4089
6/5/14,9:20:03,177.7751
6/5/14,9:20:15,169.6997
6/5/14,9:20:18,176.5061
6/5/14,9:20:31,171.3972
6/5/14,9:20:46,154.0267
6/5/14,9:20:47,136.92
6/5/14,9:20:48,122.5819
6/5/14,9:20:49,116.4347
6/5/14,9:20:54,121.725
6/5/14,9:20:55,56.1491
6/5/14,9:20:56,36.7021
6/5/14,9:20:59,21.3093
6/5/14,9:21:00,15.3598
6/5/14,9:21:01,21.8037
6/5/14,9:21:02,40.4596
6/5/14,9:21:03,57.863
6/5/14,9:21:04,66.9108
6/5/14,9:21:06,59.1815
6/5/14,9:21:08,53.8088
6/5/14,9:21:36,58.9178
6/5/14,9:22:10,52.6058
6/5/14,9:22:14,45.5027
6/5/14,9:22:15,39.6686
6/5/14,9:22:17,31.8074
6/5/14,9:22:18,26.1546
6/5/14,9:22:19,18.6065
6/5/14,9:22:21,0
6/5/14,9:51:09,6.6252
6/5/14,9:51:11,14.7171
6/5/14,9:51:12,24.902
6/5/14,9:51:13,30.5219
6/5/14,9:51:14,35.9769
6/5/14,9:51:15,41.1188
6/5/14,9:51:16,47.4474
6/5/14,9:51:18,58.1597
6/5/14,9:51:19,63.5982
6/5/14,9:52:08,58.1267
6/5/14,9:52:19,64.3069
6/5/14,9:52:33,59.2474
6/5/14,9:53:05,53.3803
6/5/14,9:56:09,58.8189
6/5/14,9:56:44,53.7264
6/5/14,9:56:47,45.9971
6/5/14,9:56:49,40.2289
6/5/14,9:56:51,32.3183
6/5/14,9:56:52,26.8962
6/5/14,9:56:53,17.6177
6/5/14,9:56:54,7.4162
6/5/14,9:56:55,0
6/5/14,13:21:21,12.3933
6/5/14,13:21:22,20.2875
6/5/14,13:21:23,26.4347
6/5/14,13:21:24,34.3289
6/5/14,13:21:26,42.8163
6/5/14,13:21:27,50.0348
6/5/14,13:21:28,56.7259
6/5/14,13:21:29,63.0214
6/5/14,13:21:30,69.3829
6/5/14,13:21:32,74.5413
6/5/14,13:22:15,102.3439
6/5/14,13:22:16,221.9099
6/5/14,13:22:17,235.6217
6/5/14,13:22:19,217.2294
6/5/14,13:22:20,195.7224
6/5/14,13:22:22,203.9297
6/5/14,13:22:23,196.7607
6/5/14,13:22:28,189.4598
6/5/14,13:22:32,182.159
6/5/14,13:22:33,175.9952
6/5/14,13:22:36,181.236
6/5/14,13:22:54,174.1989
6/5/14,13:23:06,179.2584
6/5/14,13:23:18,173.2595
6/5/14,13:23:21,178.5332
6/5/14,13:23:24,167.2276
6/5/14,13:23:40,175.9952
6/5/14,13:23:42,168.1011
6/5/14,13:23:44,174.1989
6/5/14,13:23:55,183.0324
6/5/14,13:24:01,174.6768
6/5/14,13:24:03,169.3701
6/5/14,13:24:15,175.0394
6/5/14,13:24:23,169.2382
6/5/14,13:24:27,178.3849
6/5/14,13:24:30,169.1558
6/5/14,13:24:31,156.5812
6/5/14,13:24:32,165.0027
6/5/14,13:24:34,172.6003
6/5/14,13:25:27,152.0161
6/5/14,13:25:28,124.642
6/5/14,13:25:30,115.4294
6/5/14,13:25:34,123.2247
6/5/14,13:25:35,63.384
6/5/14,13:25:36,40.1135
6/5/14,13:25:37,25.6931
6/5/14,13:25:38,15.0137
6/5/14,13:25:40,24.3911
6/5/14,13:25:43,53.0672
6/5/14,13:25:47,45.5356
6/5/14,13:25:50,51.139
6/5/14,13:27:32,45.8982
6/5/14,13:27:54,40.8881
6/5/14,13:28:00,31.8733
6/5/14,13:28:02,25.1163
6/5/14,13:28:04,13.1844
6/5/14,13:28:05,7.202
6/5/14,13:28:06,0
6/5/14,14:16:58,11.0419
6/5/14,14:16:59,19.9414
6/5/14,14:17:00,26.3688
6/5/14,14:17:01,35.2023
6/5/14,14:17:02,41.3166
6/5/14,14:17:04,51.93
6/5/14,14:17:05,59.0331
6/5/14,14:17:06,65.4276
6/5/14,14:17:07,71.4924
6/5/14,14:17:55,65.2793
6/5/14,14:18:07,71.1463
6/5/14,14:18:16,65.51
6/5/14,14:18:22,60.2033
6/5/14,14:18:51,54.8636
6/5/14,14:18:54,49.5898
6/5/14,14:19:07,54.8801
6/5/14,14:19:16,48.3373
6/5/14,14:19:25,43.0141
6/5/14,14:19:32,37.0976
6/5/14,14:19:38,28.0828
6/5/14,14:19:41,22.9573
6/5/14,14:19:52,29.7638
6/5/14,14:19:56,34.9057
6/5/14,14:20:05,29.4012
6/5/14,14:22:50,35.4166
6/5/14,14:22:55,44.1842
6/5/14,14:23:02,38.7621
6/5/14,14:23:05,30.2088
6/5/14,14:23:07,24.2593
6/5/14,14:23:09,17.7495
6/5/14,14:23:11,12.4263
6/5/14,14:23:13,4.4662
6/5/14,16:53:57,12.8548
6/5/14,16:53:58,20.4029
6/5/14,16:53:59,26.8962
6/5/14,16:54:01,33.8015
6/5/14,16:54:05,25.38
6/5/14,16:54:09,13.481
6/5/14,16:54:10,5.521
6/5/14,16:54:11,0
6/5/14,16:54:21,5.1419
6/5/14,16:54:27,0
6/6/14,13:15:32,5.0925
6/6/14,13:15:37,0
6/6/14,18:51:40,6.6416
6/6/14,18:51:41,125.3177
6/6/14,18:51:42,185.6363
6/6/14,18:51:43,203.7319
6/6/14,18:51:44,194.7006
6/6/14,18:51:45,186.1143
6/6/14,18:51:48,173.1441
6/6/14,18:51:49,163.9974
6/6/14,18:51:50,158.2787
6/6/14,18:51:51,150.7471
6/6/14,18:51:55,137.4309
6/6/14,18:51:56,128.004
6/6/14,18:51:59,119.1375
